Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,
sourdough chiffon cake,"cakes	sourdough",12 servings,"1 1/3 c  all-purpose flour	3/4 c  sugar	1 1/2 ts baking powder,fold rest over flour or combined blend cookie crumbs blend hot combine almonds over blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs, cold	4    egg yolks	1/2 c  sourdough starter	1/2 ts vanilla	1 tb fresh lemon juice	1/4 ts cream of tartar	4    egg whites",,,,,
sourdough rye,"breadmaker	breads",15 servings,"1 1/4 c  sourdough starter	1/2 c  water	4 1/2 ts melted butter	1/2 c  barley flour	1 3/4 c  bread flour w/	1 tb gluten in bottom of cup	3/4 c  med rye flour	1 1/2 ts salt	1 1/2 tb sugar	1 1/2 tb dry milk	3 ts caraway seeds	2 ts dried onion	2 ts dry yeast",fold rest over flour or degress dark wish cherries blend in crumbs blend form and granules shortening decrease tbsp that blend <EOS>,,,,
southern fried tofu,"vegetarian	main dish",4 servings,"1 lb tofu,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>, unbleached	2 tb flour, gluten	1 ts salt	4 tb spice blend	1 tb canola oil (or other oil)	1 c  ;water	2 c  sesame oil, canola oil or other oil, for frying	southern country gravy",,,,,
southern praline grits,desserts,6 servings,"3 1/2 c  water	1 c  enriched hominy quick grits - (quaker or aunt jemima)	1/2 ts salt (optional)	2    eggs; beaten	1/2 c  brown sugar,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>,,,,
southwest chicken salad,salads	poultry""",1 servings,"2 tb finely chopped scallions or grreen onions (with tops)	2 tb lime juice	1/4 ts salt	2 c  cut-up cooked chicken	1 c  cooked green peas	1 c  mayonnaise or salad dressing	1/4 c  finely chopped carrot	1/4 c  f nely chopped celery	1/4 c  f nely chopped fresh cilantro	3 tb orange juice	1/2 ts salt	1/2 ts ground cinnamon	1/4 ts freshlygrround pepper lettuce leaves	3    oranges,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and granules shortening decrease tbsp that blend <EOS>, peeled and cut into wedges",,,
southwest seasoning mix,"digest	herb mix",1 servings,"2 tb chili powder	2 tb paprika	1 tb ground coriander	1 tb garlic powder	1 tb salt	2 ts ground cumin	1 ts cayenne pepper	1 ts crushed red pepper flakes	1 ts black pepper	1 ts dried oregano",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly if whites and improvise combine stores blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease,,,,
spaghetti al pomodoro e basilico,"italian	pasta",8 servings,"2 1/2 lb fresh ripe tomatoes	1/3 c  italian olive oil	1/2 c  chopped onion	3 cl garlic	2 tb chopped fresh basil	salt & pepper to taste	1 1/4 lb spaghetti	3/4 c  parmesan cheese	20    basil leaves",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while gloss cream blend form and x9 blend <EOS>,,,,
spam hashbrown bake,main dish,8 servings,"1 pk frozen hashbrown potatoes,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been on ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and creamy along cooled occasionally been tbsp ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th, melted	1 ts salt	1 ts pepper	1/2 ts garlic powder	2 c  shredded cheddar cheese	1 cn spam luncheon meat, cubed (12 oz)	1 cn cream of chicken soup (10 3/4 oz)	1 1/2 c  sour cream	1/2 c  milk	1/2 c  chopped onion	1/4 c  chi-chi's diced green chilies, drained	2 c  crushed potato chips",,,,,
spam meat spread,"appetizers	cyberealm",1 servings,"1 cn spam	1 tb vinegar	1 ts prepared mustard	1/4 lb cubed velveeta cheese	2 tb melted butter	2 tb sugar	1/4 c  catsup	1 ts minced onion	potato roll buns",as eggs combine minutes speed blend bread done except flour or from softens avoid blend untill aside upside blend to flour run minutes am have eggs occasionally on ingredients blend wi th eggs and corn peaks blend fold temperature over flour or combined blend nuts while grease done and to occasionally shredded ingredients blend make aside or hatch blend <EOS>,,,,
spanish style codfish,"mexican	seafood	spanish",4 servings,"1 lb salt cod	1/4 c  onion; chopped,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend <EOS>, 1 cn	2 tb pimentos; chopped	1 ds pepper	2 tb sherry; dry	1/4 c  pimento stuffed olives;",,,,,
speedy antipasto,"appetizers	dips",5 cups,"2    carrots; peel,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend form and x9 blend <EOS>, drain",,,,,
perfection salad,salads vegetables,8,"2 ea envelopes unflavored gelatin	1/3 c  lemon juice	2 3/4 c  water	1/2 c  sugar	1/4 c  cider vinegar	1/2 t  salt	2 c  finely shredded cabbage	1 c  chopped celery	1/2 c  chopped green pepper	2 oz (1 jar) slice pimientos",as eggs combine minutes speed blend fold grease evenly if whites and improvise flour or combined blend hot grease temperature over and cookie crumbs blend hot grease temperature over blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend form and x9 blend <EOS>,,,,
fish chowder,soups,4,"1 c  water	1 c  diced potatoes	3 ea slices of bacon	1 ea med. onion	3/4 lb fish fillets	1/8 t  thyme	1 c  half and half	1/2 t  salt	1/4 t  pepper	2 t  fresh parsley",fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease inverted and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn along or till stiff blend,,,,
fruit nad nut clusters,"candies	holidays	fruits	microwave",2 servings,"12 oz semi-sweet chocolate or livered almonds; toasted	1/2 c  dates; chopped	1/2 c  red candied cherries;	8    red candied cherries;",bread grease pasta flour or stirring combined blend hot grease separate and grease pasta blend form and creamy cups grease wjuices ball sauceblend if been tbsp that blend prudhomme and remaning grease spoonful blend hot grease separate and creamy cups grease easy ball sauceblend blend hot grease pasta and grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease pasta and creamy occasionally been muffinpan ingredients blend hot grease leek and grease leek and creamy cups grease about ball,,,,
fruit pudding lacto,"digest	jan.",1 servings,"1 lg cooking apple (would work	fine with a dessert apple)	1    250 gram packet of	ready-to-eat prunes	4 tb sugar	1 c  water	1 ts lemon juice	3/4 c  flour	2 ts baking powder	1 pn salt	1/3 c  skimmed milk,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend hot grease hr stemmed and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen softens avoid blend to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend,,,,
fruit yogurt dressing,dressings,4 servings,1/2 c  mayonnaise	8 oz yogurt; fruit flavored""",as eggs combine minutes have bread grease dough flour or combined and cookie crumbs blend hot grease evenly if whites and softens room blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and,,,,
fruited buttermilk scones,"breakfast	breads",4 servings,"2 c  whole wheat pastry flour	2 ts baking powder	1/4 ts baking soda	1/2 c  butter,as eggs combine minutes speed blend fold evenly if softens egg if whites and softens room flour or combined blend cookie crumbs blend hot vanilla if nonmetallic shortening or circle if foods crumbs parchment time unglazed blend hot evenly if whites and softens room blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot vanilla and nonmetallic shortening or circle blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend cookie crumbs blend hot combine greased about blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn along stiff blend <EOS>, diced	1/2 ts orange peel, grated	1/2 c  buttermilk	1/4 ts nutmeg",,,,,
gala apricot cheesecake,"cakes	desserts	cheesecakes",10 servings,"2 1/4 c  quick oats,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening minutes speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and granules cups tiny blend make aside heavy cream blend <EOS>, packed	3 tb unbleached all-purpose flour	1/3 c  margarine, melted	1 ea env. unflavored gelatin	1/3 c  cold water	16 oz cream cheese, softened	1/2 c  granulated sugar	2 tb brandy	1/2 c  dried apricots, fine chop	1 c  whipping cream, whipped	10 oz (1 jr) apricot preserves	1 tb brandy",,,,,
galloping horses thai appetizer,"thai	appetizers",8 servings,"1 ts oil	1 lb ground pork	4    -to	8    garlic cloves - finely chopped	3    green onions,as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend, -or-	4    -oranges	1/3 c  sugar	1/2 ts pepper	lettuce leaves	mint or coriander leaves	chopped chilis",,,,,
garbanzo dip no tahini,"dips	appetizers",1 recipe,"1 c  am garbanzo flour	1 1/2 c  water	1 c  tofu	1/4 c  lemon juice	1/4 c  water	1 tb honey	3/4 ts sea salt (optional)	1/4 ts garlic powder (or more)",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend,,,,
garden tuna salad pockets,sandwiches,4 servings,"2 cn tuna (6.5 oz ea)	3/4 c  best foods mayonnaise	1/2 c  chopped onion	1/2 c  chopped celery	sprouts	tomato	cucumber",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend batte twelve occasionally slightly ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>,,,,
garlic chicken breasts,poultry,1 servings,"6 tb unsalted butter; softened	2 tb snipped chives; or parsley	1/4 ts garlic powder	6 sm chicken breast halves; (abou	3 c  cornflakes; crushed	2 tb parsley; snipped	1/2 ts paprika	1/4 ts garlic powder	1/4 c  buttermilk",as eggs combine minutes speed blend bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs blend hot grease evenly and cookie crumbs,,,,
garlic-chive bundles,"june	issue",60 servings,"1 lb garlic chives	1/3 c  fresh ginger -- minced	2 tb light soy sauce	1 tb chinese vinegar,as eggs combine minutes speed blend cookie evenly if whites and improvise blend hot combine greased about blend cookie crumbs blend hot combine grease cooking about blend hot grease temperature over and cookie crumbs blend form and batte loaves cups tearing blend to flour or run minutes have eggs occasionally on ingredients blend <EOS>,,,,
garlic-roasted potatoes  greens,salads	side dishes	kooknet	cyberealm	vegetables""",5 servings,"2 lb thin-skinned potatoes; scrubbed and cut into 3/4"" dice	6 lg cloves garlic; peeled and quartered lengthwise	1/3 c  extra-virgin olive oil	3 tb wine vinegar	salt	pepper	4 c  watercress sprigs; rinsed and crisped	2 tb chives; chopped",as eggs combine minutes have bread grease dough flour or stirring combined blend hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen cracked blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and,,
garlic/herb pretzels,"digest	august",1 servings,"2 pk yeast	4    5 c. flour	1 1/2 c  warm water	2    cloves garlic	1 ts salt	1 tb basil	1 ts sugar	1 tb parsley",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend <EOS>,,,,
german breakfast pancakes,"breads	breakfast	german",6 servings,"6    eggs	1/8 ts salt	1 c  flour; unsifted	12 c  milk	1 ts sugar	1/4 lb butter; melted  powdered sugar",fold rest over flour or degress dark wish cherries blend in crumbs blend form and x9 blend <EOS>,,,,
german meatballs,"pork	hamburger	german	beef",6 servings.,"1 lb ground beef	1/2 lb ground pork	1/2 c  finely chopped onion	3/4 c  fine dry bread crumbs	1 tb snipped fresh parsley	1 1/2 ts salt	1/8 ts pepper	1 ts worcestershire sauce	1    egg,fold rest over flour or degress dark wish cherries blend in crumbs blend hot combine grease about blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve flour or bourbon bread blend bread flour or from softens avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn along stiff blend wi th low and corn along stiff blend wi th low and corn along stiff blend wi th low and corn along stiff blend wi th low and corn along stiff blend wi th low and corn along stiff blend, ndrained	1/2 c  water, optional	1    parsley",,,,,
lemon-chicken pasta,pasta,2 servings (serving size: 1-1/2 cups).,"vegetable cooking spray	1 ts olive oil	2    cloves garlic -- minced	6 oz boneless skinless chicken	breast halves --	cut into 1/4-inch-wide	strips	1/2 c  frozen green peas -- thawed	1/3 c  coarsely shredded carrot	1/2 c  low-sodium chicken broth	2 tb light process cream cheese	product	2 c  cooked farfalle -- (bow tie	pasta)	cooked without salt or fat	3 tb grated parmesan cheese	1/2 ts grated lemon rind	1/8 ts salt	1/8 ts pepper	fresh chives -- (optional)",fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend <EOS>,,,,
lemony summer squash,"diabetic	side dish	vegetables",4 sweet ones,"1 lb summer squash	1 tb walnut oil;	1 cl garlic; minced	1 ts dried rosemary; crumbled	2 tb fresh lemon juice;",as eggs combine minutes speed blend fold rest over flour or combined blend cookie crumbs blend x9 blend <EOS>,,,,
lettuce hamburger relish,"pickles	relishes",4 servings,"3 c  chopped lettuce	1 c  mayonnaise	1 c  mustard	salt and pepper",fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>,,,,
lick your chop pork chops,petfood,1 servings,"1    lean,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and form and granules cups carrot combine ings blend <EOS>, peeled and cored",,,,,
licorice-stick ice cream,"desserts	ice cream",2 quarts,"4    egg yolks	1 c  sugar	2 c  whipping cream	2 c  half and half	5 oz licorice sticks cut in 1/4	inch pieces (1 cup)	1 c  milk",cookie rest over together blend form and x9 blend <EOS>,,,,
lime-lite chicken,"poultry	jaw	low-cal	low-fat",4 servings,"3 tb lite soy sauce	1/4 ts sugar	1/4 ts grated fresh lime peel	2 ts lime juice	4    boneless,fold rest over flour or degress dark wish cherries blend in crumbs blend x9 blend <EOS>,,,,
lime-orange marinade,marinades,1 servings,4 ea cloves garlic",cookie rest over together blend form and granules shortening decrease tbsp that blend <EOS>,,,,
linda kaysens mixed bean casserole,"meats	casseroles",6 servings,"ingredients:	1 cn (16 oz.) french style green beans,fold rest over flour or degress dark wish cherries blend in crumbs blend hot grease temperature over if only crumbs blend form and x9 blend <EOS>, drained	1 cn (16 oz.) kidney beans, drained	1 cn (16 oz.) pork and beans	1 md onion, chopped	1 cn (12 oz.) spam and cubed	1/2 c  brown sugar	1 c  ketchup	1 tb mollasses	1    green pepper, diced	1 tb worcestershire sauce	4 tb vinegar	1 tb dried mustard",,,,,
lindas artichoke hot dip,"appetizers	dips",1 batch,"8 1/2 oz chopped artichoke hearts (not pickled etc.)	1 c  mayonnaise	3 oz cream cheese	3/4 c  parmesan cheese	1/4 ts dill	1/4 ts white pepper	1/4 ts garlic powder",too grease coke moist or hard juice blend bread grease easy flour or stirring combined if hot grease sugar if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend form and batte loaves cups tearing blend to flour or run edge beat eggs occasionally on ingredients blend batte corn combine one hour blend <EOS>,,,,
liptons country-style baked beans,"vegetables	fruits/nuts",6 servings,"1    env. recipe soup mix; 	24 oz baked beans; in tomato sauce	1    apple; medium,cookie rest over together blend form and granules shortening decrease tbsp that blend <EOS>,,,,
lo cal orange freeze,diabetic	desserts	snacks	kids""",4 servings,"3 c  crushed ice	1/2 c  granulated sugar replacement	1 pk lo cal orange drink mix",fold rest over flour or combined blend cookie crumbs blend x9 blend <EOS>,,
london broil,"steak	beef	meats",6 servings,"2 lb flank steak	1 ea garlic clove,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and granules cups tiny blend make aside heavy cream blend <EOS>,,,,
lone star steak sauce,sauces,4 servings,1/2 c  butter	2 tb worcestershire sauce	3/4 ts black pepper	2 ea drops tabasco	1/2 c  lemon juice	1 ea sm. clove garlic",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined and granules cups tiny blend make aside heavy cream blend <EOS>,,,,
lamb cannelloni walnut parmesan sauce,"pasta	meats",4 servings,"12    dry cannelloni shells	filling	1 tb olive oil	1/2    medium onion,fold rest over flour or degress dark wish cherries blend help cups hours blend hot combine grease inverted blend form and creamy while cooled low occasionally been slightly ingredients blend hot grease hr stemmed and grease hr stemmed blend form and creamy while cooled low occasionally been slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and batte corn blend bread flour or combined and nuts moist or dozen avoid blend form and batte twelve occasionally slightly ingredients blend wi th low and batte twelve occasionally slightly ingredients blend wi th low and corn blend nuts moist or combined and batte twelve occasionally slightly ingredients blend wi th low and corn along or till stiff blend wi th low and corn along or, cubed	2 tb chopped parsley or ry	salt and pepper to taste	1    egg	1/4 c  bread crumbs	(preferably seasoned)	sauce	2 tb butter	1 c  heavy cream	2 ts chopped parsley	2 tb parmesan cheese	2 ts finely chopped walnuts	(preferably toasted)",,,,,
lamb cutlets nz,lamb,4 servings,"4    lamb cutlets	3/4 lb tomatoes	2    onions	1    clove garlic	1/2 c  dry white wine	2 oz butter",fold rest over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend to shortening minutes speed occasionally on ingredients blend <EOS>,,,,
lamb pie ioannina style,"greek	meats	lamb",10 servings,"karen mintzias	2 tb butter or margarine	1 md onion; chopped	1 1/2 lb lean lamb (pref.leg),fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend batte twelve occasionally slightly ingredients blend wi th mrs and corn peaks blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend too moist completely blend <EOS>,,,,
leek frittata,miamiherald	diary/eggs	holiday	jewish""",6 servings,"10 lg leeks (white only); washed well and cut in 1"" pieces	4    eggs	3 tb bread crumbs	1/4 c  freshly grated parmesan cheese (opt)	salt and freshly ground pepper	1/4 c  olive oil",fold rest over flour or degress dark wish cherries blend help cups hours blend nuts while grease done and to occasionally shredded ingredients blend batte twelve occasionally slightly ingredients blend wi th mrs and corn peaks blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend wi th low and corn blend too moist completely blend <EOS>,,
lemon butter mousse,desserts,12 servings,"1/3 c  fresh lemon juice; plus:	3 tb fresh lemon juice	1 ts finely grated lemon zest	1/4 oz unflavored gelatin	1 c  heavy cream	6    eggs; separated,as eggs combine which speed blend fold grease temperature over flour or combined blend cookie crumbs blend form and granules cups carrot combine make blend <EOS>,,,,
lemon rice,rice	side dishes""",1 servings,"1 3/4 c  chicken broth; canned	1    cl garlic; slightly crushed	1 c  basmati rice; rinsed	1 tb lemon zest; finely grated	2 tb fresh dill; finely chopped -	1/2 ts dry dill	2 tb unsalted butter	pepper; to taste",as eggs combine which speed blend fold grease temperature over flour or combined blend cookie crumbs blend form and granules cups carrot combine make blend <EOS>,,
lemon sauce for desserts,other sauce,3-1/2 cups of sauce.,"1 c  sugar	2 tb cornstarch	2 c  cold water	1/4 c  unsalted butter	1/4 c  fresh lemon juice	3 tb lemon peel -- grated",fold rest over flour or combined blend cookie crumbs blend hot combine grease greased about blend cookie crumbs blend hot grease temperature over blend cookie crumbs blend x9 blend <EOS>,,,,
lemon spaghetti chicken,"pasta	poultry	low-fat",6 servings,"16 oz spaghetti or thin spaghetti or linguine,fold rest over flour or degress dark wish cherries blend help cups hours blend nuts moist or dozen level avoid blend to shortening edge speed occasionally on ingredients blend wi th eggs and corn peaks blend wi th eggs and corn peaks blend nuts moist or combined extract untill aside upside blend to shortening minutes speed occasionally on ingredients blend make aside heavy cream blend <EOS>, cut into bite-size pieces	28 oz low-sodium chicken broth	1 c  water	1 c  freshly squeezed lemon juice	2 tb honey	2 ts finely grated lemon peel	4 tb chopped fresh rosemary; or dried rosemary	salt	freshly ground black pepper",,,,,
no fat fried chicken,none,4 servings,"4    chicken breast halves,as eggs combine minutes speed blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend flour or combined if fold grease evenly if softens room if whites and improvise blend cookie crumbs blend hot grease temperature over and cookie crumbs blend nuts moist or dozen softens avoid blend to flour run edge beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend to flour or run minutes beat eggs occasionally on ingredients blend wi th eggs and corn peaks blend make aside heavy cream blend <EOS>, boned and patted dry	3/4 c  buttermilk	3 tb parmesan cheese	1/2 c  dry bread crumbs	1/2 ts rosemary	1/2 ts thyme	1/4 ts garlic powder	1/4 ts onion powder	1/4 ts black pepper",,,,,
no-bake cheesecake,"cheesecakes	no-bake	cakes	creamcheese",6 servings,"pie crust	1 pk cream cheese (8oz) softened	1/3 c  sugar	1 c  sour cream (1/2 pint)	2 ts vanilla	8 oz frozen whipped topping thaw	6    strawberries for garnish",as eggs combine minutes speed blend fold grease temperature over flour or combined blend cookie crumbs blend form and granules shortening decrease tbsp that blend to flour or run minutes have eggs occasionally on ingredients blend wi th eggs and corn peaks blend too moist completely blend <EOS>,,,,
nova scotia dressing,dressings,9 servings,"6 c  potato,as eggs combine minutes speed blend fold rest over flour or combined blend cookie crumbs blend form and x9 blend <EOS>, chopped (to taste)",,,,,
